,ds,y,ma4,var4,momentum0,rsi,MACD,upper_band,ema,diff4,lower_band,momentum1,kalman
297,1998-09-30,2114.03,2114.5375000000004,3.0028250589544414,-3.6299999999996544,57.42706140162425,9.081865608199225,2134.2155128039776,2114.539433400408,11.340000000000146,2027.2421795037144,-1.8099999999999452,2098.5061926455965
298,1998-10-08,2037.29,2096.205,39.3046142329528,-76.74000000000024,48.467815049864,3.462588967764077,2134.2985506698087,2063.0398111334694,-18.33250000000044,2022.324526253268,-80.36999999999989,2063.407339673221
299,1998-10-15,2061.09,2082.5175,39.71858286748336,23.800000000000185,49.64207243603374,0.9191375945706568,2133.552184258584,2061.7399370444896,-13.6875,2020.963200356801,-52.940000000000055,2067.4212708711048
300,1998-10-22,2085.46,2074.4675,32.89959713534139,24.36999999999989,48.82414376778195,0.8599761187679178,2134.1921645701864,2077.553312348163,-8.050000000000182,2021.560912352891,48.17000000000007,2080.9167815178653
301,1998-10-28,2083.7,2066.885,22.63640798951333,-1.7600000000002185,45.02235640310311,0.6634253771126168,2131.600506852776,2081.6511041160543,-7.582499999999527,2025.1094931472244,22.609999999999676,2087.608462748866
302,1998-11-05,2096.09,2081.585,14.7187963729307,12.390000000000327,43.2303381871276,1.4902482960192174,2132.8811712355537,2091.2770347053515,14.699999999999818,2028.6065210721388,10.63000000000011,2100.153376424158
303,1998-11-12,2130.45,2098.925,21.71765564392012,34.35999999999967,63.66572288090598,4.862029804608937,2137.896256156768,2117.392344901784,17.340000000000146,2029.7345130740007,46.75,2118.7835180387865
304,1998-11-19,2114.03,2106.0675,20.47570328465589,-16.419999999999618,50.85033165428166,6.138473666841946,2140.4034299098616,2115.150781633928,7.142499999999927,2031.9642623978305,17.940000000000055,2119.9421791471887
305,1998-11-25,2145.26,2121.4575,21.18255473264101,31.230000000000015,56.49390782270884,9.559864457287858,2145.2135491652207,2135.2235938779763,15.389999999999873,2033.7172200655489,14.8100000000004,2129.9547966636
306,1998-12-03,2117.66,2126.85,14.15034275208043,-27.600000000000364,50.0,9.9297875614011,2148.6102839046416,2123.5145312926584,5.392499999999927,2036.0504853261275,3.6299999999996544,2117.0466602951005
307,1998-12-10,2096.09,2118.26,20.320447829743436,-21.56999999999971,46.68072824156305,8.385769622329008,2147.70893891544,2105.231510430886,-8.58999999999969,2038.5687533922528,-49.17000000000007,2103.219999153368
308,1998-12-17,2101.44,2115.1125,22.091885953926933,5.349999999999909,66.13024893135533,7.507285258413958,2148.633785168829,2102.703836810296,-3.1475000000000364,2040.8362148311712,-16.2199999999998,2100.07107630769
309,1998-12-22,2112.22,2106.8525,9.844434552982143,10.779999999999744,63.75719743851902,7.593403944708825,2150.520928701744,2109.047945603432,-8.260000000000218,2041.952917452102,16.129999999999654,2094.872081839374
310,1998-12-29,2071.56,2095.3275,17.206536306529202,-40.659999999999854,46.561448644369655,4.33080856850529,2150.375994516797,2084.0559818678107,-11.525000000000093,2040.497851637049,-29.88000000000011,2063.693206291684
311,1999-01-07,2010.46,2073.92,45.66903254213401,-61.09999999999991,35.9940335041689,-3.1487839179044386,2155.7662819463867,2034.9919939559368,-21.4074999999998,2027.606025745921,-101.75999999999976,2020.7331842614208
312,1999-01-14,1979.69,2043.4825,59.646621795938486,-30.769999999999985,29.20240137221259,-11.427566818447758,2166.3578300433974,1998.1239979853124,-30.4375,2009.777554571988,-91.86999999999988,1993.158069108572
313,1999-01-21,1978.8,2010.1275,43.51978965559948,-0.8900000000001,19.22311969801511,-17.854561206982908,2172.5050118541453,1985.241332661771,-33.35500000000002,1995.887295838162,-31.66000000000008,1985.752453867455
314,1999-01-28,1990.39,1989.835,14.72402684959367,11.590000000000146,24.40589550385025,-21.761926483390653,2177.947345253187,1988.6737775539236,-20.292500000000015,1986.1872701314285,10.700000000000044,1988.7586887984396
315,1999-02-04,1987.91,1984.1975,5.81894248704479,-2.480000000000018,13.02692795714077,-24.773088150281183,2182.1714147078706,1988.1645925179744,-5.6375000000000455,1976.1785852921296,9.110000000000127,1989.3219060354509
316,1999-02-11,1985.6,1985.675,4.9832285385621775,-2.310000000000173,14.783999999999937,-27.034219505818555,2183.6550278558216,1986.454864172658,1.477500000000191,1966.5111259903324,-4.790000000000191,1991.99956435736
317,1999-02-18,1995.47,1989.8425,4.230913022137064,9.870000000000118,21.38225255972692,-27.710328465219845,2180.9170277739936,1992.4649547242195,4.167500000000018,1960.458356841392,7.559999999999945,2004.2610770313925
318,1999-02-24,2036.03,2001.2525,23.56505092294379,40.559999999999945,34.500734562343,-24.68870068736919,2178.039747613972,2021.5083182414064,11.409999999999854,1956.0764062321816,50.430000000000064,2029.687923650426
319,1999-03-04,2061.79,2019.7225,35.5346679314864,25.75999999999999,38.842426656046776,-19.98504700743069,2176.2847300610047,2048.3627727471358,18.470000000000027,1957.3021930159184,66.31999999999994,2045.6170087609803
320,1999-03-11,2034.19,2031.87,27.34260655706377,-27.59999999999991,41.22481566712069,-18.27380783360445,2171.892809970961,2038.9142575823785,12.147499999999807,1955.8148823367324,-1.839999999999918,2037.3257588897195
321,1999-03-18,2027.22,2039.8075,15.138265807804816,-6.970000000000027,55.277078085642295,-17.280856254868468,2166.729702009857,2031.118085860793,7.937500000000227,1954.1610672209115,-34.569999999999936,2033.7305562498436
322,1999-03-25,2036.53,2039.9325,15.098689512705604,9.309999999999944,70.69317023445456,-15.563291841272983,2161.3152164821727,2034.7260286202643,0.1249999999997726,1953.334783517828,2.339999999999918,2039.8854271095877
